trial_numbers,cue_time in s,M7_L_rewards,M7_L_beambreak_time in s,M7_L_reward time in s,M8_R_rewards,M8_R_beambreak_time in s,M8_R_reward time in s,M7_L_beambreak_time,M8_R_beambreak_time,cue_time
,202307131147345,32,202307131147395,202307131147395,35,202307131147405,202307131147406,1689274059.5180895,1689274060.5841856,1689274054.5090206
,202307131147457,33,202307131147467,202307131147468,35,,202307131147406,1689274066.7677546,1689274081.8556135,1689274065.7640283
,202307131148119,33,,202307131147468,35,,202307131147406,1689274108.005004,1689274108.006498,1689274091.9830139
,202307131148431,33,,202307131147468,35,,202307131147406,1689274139.1543221,1689274139.1556327,1689274123.1313517
,202307131149143,34,202307131149183,202307131149183,35,,202307131147406,1689274158.3141046,1689274170.3946369,1689274154.307247
,202307131149405,34,,202307131149183,36,202307131149435,202307131149436,1689274196.6179056,1689274183.5363262,1689274180.5305085
,202307131150017,35,202307131150027,202307131150028,37,202307131150028,202307131150028,1689274202.742726,1689274202.8095622,1689274201.7378361
,202307131150079,36,202307131150139,202307131150140,37,,202307131150028,1689274213.9632716,1689274224.0401096,1689274207.9544077
,202307131150341,37,202307131150461,202307131150462,38,202307131150472,202307131150472,1689274246.1678998,1689274247.2338188,1689274234.15348
,202307131150523,38,202307131150564,202307131150564,39,202307131151074,202307131151075,1689274256.4022996,1689274267.4803529,1689274252.3954678
,202307131151126,38,,202307131150564,40,202307131151136,202307131151137,1689274288.7328067,1689274273.6522815,1689274272.6486993
,202307131151338,38,,202307131150564,40,,202307131151137,1689274309.870267,1689274309.8720565,1689274293.8481922
,202307131152050,38,,202307131150564,40,,202307131151137,1689274341.029734,1689274341.0313277,1689274325.0054178
,202307131152361,38,,202307131150564,40,,202307131151137,1689274372.1732779,1689274372.1747723,1689274356.1498315
,202307131153072,39,202307131153113,202307131153113,40,,202307131151137,1689274391.3049366,1689274403.3864565,1689274387.2961335
,202307131153335,39,,202307131153113,40,,202307131151137,1689274429.5428004,1689274429.544288,1689274413.5195973
